"Location","Year","Series","Series Code","Permits"
"Grant County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Grant County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2006,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2007,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2008,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2009,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2010,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2011,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2012,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2013,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2014,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2015,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2016,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2017,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2018,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Grant County",2019,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",1999,"Total Units",1.0,0
"Griggs County",2000,"Total Units",1.0,0
"Griggs County",2001,"Total Units",1.0,0
"Griggs County",2002,"Total Units",1.0,0
"Griggs County",2003,"Total Units",1.0,0
"Griggs County",2004,"Total Units",1.0,0
"Griggs County",2005,"Total Units",1.0,0
"Griggs County",2006,"Total Units",1.0,0
"Griggs County",2007,"Total Units",1.0,0
"Griggs County",2008,"Total Units",1.0,0
"Griggs County",2009,"Total Units",1.0,0
"Griggs County",2010,"Total Units",1.0,1.0
"Griggs County",2011,"Total Units",1.0,0
"Griggs County",2012,"Total Units",1.0,0
"Griggs County",2013,"Total Units",1.0,3.0
"Griggs County",2014,"Total Units",1.0,2.0
"Griggs County",2015,"Total Units",1.0,1.0
"Griggs County",2016,"Total Units",1.0,1.0
"Griggs County",2017,"Total Units",1.0,3.0
"Griggs County",2018,"Total Units",1.0,2.0
"Griggs County",2019,"Total Units",1.0,2.0
"Griggs County",1999,"Units in Single-Family Structures",2.0,0
"Griggs County",2000,"Units in Single-Family Structures",2.0,0
"Griggs County",2001,"Units in Single-Family Structures",2.0,0
"Griggs County",2002,"Units in Single-Family Structures",2.0,0
"Griggs County",2003,"Units in Single-Family Structures",2.0,0
"Griggs County",2004,"Units in Single-Family Structures",2.0,0
"Griggs County",2005,"Units in Single-Family Structures",2.0,0
"Griggs County",2006,"Units in Single-Family Structures",2.0,0
"Griggs County",2007,"Units in Single-Family Structures",2.0,0
"Griggs County",2008,"Units in Single-Family Structures",2.0,0
"Griggs County",2009,"Units in Single-Family Structures",2.0,0
"Griggs County",2010,"Units in Single-Family Structures",2.0,1.0
"Griggs County",2011,"Units in Single-Family Structures",2.0,0
"Griggs County",2012,"Units in Single-Family Structures",2.0,0
"Griggs County",2013,"Units in Single-Family Structures",2.0,3.0
"Griggs County",2014,"Units in Single-Family Structures",2.0,0
"Griggs County",2015,"Units in Single-Family Structures",2.0,1.0
"Griggs County",2016,"Units in Single-Family Structures",2.0,1.0
"Griggs County",2017,"Units in Single-Family Structures",2.0,3.0
"Griggs County",2018,"Units in Single-Family Structures",2.0,2.0
"Griggs County",2019,"Units in Single-Family Structures",2.0,2.0
"Griggs County",1999,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2000,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2001,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2002,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2003,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2004,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2005,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2006,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2007,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2008,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2009,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2010,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2011,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2012,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2013,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2014,"Units in All Multi-Family Structures",3.0,2.0
"Griggs County",2015,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2016,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2017,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2018,"Units in All Multi-Family Structures",3.0,0
"Griggs County",2019,"Units in All Multi-Family Structures",3.0,0
"Griggs County",1999,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2002,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2003,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2004,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2006,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2007,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2008,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2011,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2014,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Griggs County",2015,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2017,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2018,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Griggs County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Griggs County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2006,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2007,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2008,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2009,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2010,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2011,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2012,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2013,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2014,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2015,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2016,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2017,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2018,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Griggs County",2019,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Hettinger County",1999,"Total Units",1.0,0
"Hettinger County",2000,"Total Units",1.0,0
"Hettinger County",2001,"Total Units",1.0,2.0
"Hettinger County",2002,"Total Units",1.0,2.0
"Hettinger County",2003,"Total Units",1.0,1.0
"Hettinger County",2004,"Total Units",1.0,0
"Hettinger County",2005,"Total Units",1.0,1.0
"Hettinger County",2006,"Total Units",1.0,0
"Hettinger County",2007,"Total Units",1.0,0
"Hettinger County",2008,"Total Units",1.0,0
"Hettinger County",2009,"Total Units",1.0,0
"Hettinger County",2010,"Total Units",1.0,0
"Hettinger County",2011,"Total Units",1.0,5.0
"Hettinger County",2012,"Total Units",1.0,8.0
"Hettinger County",2013,"Total Units",1.0,0
"Hettinger County",2014,"Total Units",1.0,3.0
"Hettinger County",2015,"Total Units",1.0,0
"Hettinger County",2016,"Total Units",1.0,0
"Hettinger County",2017,"Total Units",1.0,1.0
"Hettinger County",2018,"Total Units",1.0,0
"Hettinger County",2019,"Total Units",1.0,0
"Hettinger County",1999,"Units in Single-Family Structures",2.0,0
"Hettinger County",2000,"Units in Single-Family Structures",2.0,0
"Hettinger County",2001,"Units in Single-Family Structures",2.0,2.0
"Hettinger County",2002,"Units in Single-Family Structures",2.0,2.0
"Hettinger County",2003,"Units in Single-Family Structures",2.0,1.0
"Hettinger County",2004,"Units in Single-Family Structures",2.0,0
"Hettinger County",2005,"Units in Single-Family Structures",2.0,1.0
"Hettinger County",2006,"Units in Single-Family Structures",2.0,0
"Hettinger County",2007,"Units in Single-Family Structures",2.0,0
"Hettinger County",2008,"Units in Single-Family Structures",2.0,0
"Hettinger County",2009,"Units in Single-Family Structures",2.0,0
"Hettinger County",2010,"Units in Single-Family Structures",2.0,0
"Hettinger County",2011,"Units in Single-Family Structures",2.0,5.0
"Hettinger County",2012,"Units in Single-Family Structures",2.0,8.0
"Hettinger County",2013,"Units in Single-Family Structures",2.0,0
"Hettinger County",2014,"Units in Single-Family Structures",2.0,3.0
"Hettinger County",2015,"Units in Single-Family Structures",2.0,0
"Hettinger County",2016,"Units in Single-Family Structures",2.0,0
"Hettinger County",2017,"Units in Single-Family Structures",2.0,1.0
"Hettinger County",2018,"Units in Single-Family Structures",2.0,0
"Hettinger County",2019,"Units in Single-Family Structures",2.0,0
"Hettinger County",1999,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2000,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2001,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2002,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2003,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2004,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2005,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2006,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2007,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2008,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2009,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2010,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2011,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2012,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2013,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2014,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2015,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2016,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2017,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2018,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",2019,"Units in All Multi-Family Structures",3.0,0
"Hettinger County",1999,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2002,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2003,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2004,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2006,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2007,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2008,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2011,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2014,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2015,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2017,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2018,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Hettinger County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hettinger County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hettinger County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hettinger County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hettinger County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hettinger County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hettinger County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hettinger County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hettinger County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hettinger County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
